,country,year,pop,continent,lifeExp,gdpPercap,machinelearning
0,Afghanistan,1952,8425333.0,Asia,28.801,779.4453145,yes
1,Afghanistan,1957,9240934.0,Asia,30.332,820.8530296,yes
2,Afghanistan,1962,10267083.0,Asia,31.997,853.1007099999998,yes
3,Afghanistan,1967,11537966.0,Asia,34.02,836.1971382,yes
4,Afghanistan,1972,13079460.0,Asia,36.088,739.9811057999998,yes
5,Afghanistan,1977,14880372.0,Asia,38.438,786.11336,yes
6,Afghanistan,1982,12881816.0,Asia,39.854,978.0114388,yes
7,Afghanistan,1987,13867957.0,Asia,40.822,852.3959447999998,yes
8,Afghanistan,1992,16317921.0,Asia,41.674,649.3413952000002,yes
9,Afghanistan,1997,22227415.0,Asia,41.76300000000001,635.341351,yes
10,Afghanistan,2002,25268405.0,Asia,42.129,726.7340548,yes
11,Afghanistan,2007,31889923.0,Asia,43.828,974.5803384,yes
12,Albania,1952,1282697.0,Europe,55.23,1601.056136,yes
13,Albania,1957,1476505.0,Europe,59.28,1942.284244,yes
14,Albania,1962,1728137.0,Europe,64.82,2312.888958,yes
15,Albania,1967,1984060.0,Europe,66.22,2760.196931,yes
16,Albania,1972,2263554.0,Europe,67.69,3313.422188,yes
17,Albania,1977,2509048.0,Europe,68.93,3533.003910000001,yes
18,Albania,1982,2780097.0,Europe,70.42,3630.880722,yes
19,Albania,1987,3075321.0,Europe,72.0,3738.932735,yes
20,Albania,1992,3326498.0,Europe,71.581,2497.437901,yes
21,Albania,1997,3428038.0,Europe,72.95,3193.054604,yes
22,Albania,2002,3508512.0,Europe,75.65100000000002,4604.211737,yes
23,Albania,2007,3600523.0,Europe,76.423,5937.029525999998,yes
24,Algeria,1952,9279525.0,Africa,43.077,2449.008185,yes
25,Algeria,1957,10270856.0,Africa,45.685,3013.976023,yes
26,Algeria,1962,11000948.0,Africa,48.303,2550.81688,yes
27,Algeria,1967,12760499.0,Africa,51.407,3246.991771,yes
28,Algeria,1972,14760787.0,Africa,54.518,4182.663766,yes
29,Algeria,1977,17152804.0,Africa,58.014,4910.416756000001,yes
30,Algeria,1982,20033753.0,Africa,61.368,5745.160213,yes
31,Algeria,1987,23254956.0,Africa,65.79899999999999,5681.358539,yes
32,Algeria,1992,26298373.0,Africa,67.744,5023.216647,yes
33,Algeria,1997,29072015.0,Africa,69.152,4797.295051,yes
34,Algeria,2002,31287142.0,Africa,70.994,5288.040382,yes
35,Algeria,2007,33333216.0,Africa,72.301,6223.367465,yes
36,Angola,1952,4232095.0,Africa,30.015,3520.610273,yes
37,Angola,1957,4561361.0,Africa,31.999,3827.940465,yes
38,Angola,1962,4826015.0,Africa,34.0,4269.276742,yes
39,Angola,1967,5247469.0,Africa,35.985,5522.776375,yes
40,Angola,1972,5894858.0,Africa,37.928,5473.2880049999985,yes
41,Angola,1977,6162675.0,Africa,39.483,3008.647355,yes
42,Angola,1982,7016384.0,Africa,39.942,2756.953672,yes
43,Angola,1987,7874230.0,Africa,39.906,2430.208311,yes
44,Angola,1992,8735988.0,Africa,40.647,2627.845685,yes
45,Angola,1997,9875024.0,Africa,40.963,2277.140884,yes
46,Angola,2002,10866106.0,Africa,41.003,2773.287312,yes
47,Angola,2007,12420476.0,Africa,42.731,4797.231267,yes
48,Argentina,1952,17876956.0,Americas,62.485,5911.315053,yes
49,Argentina,1957,19610538.0,Americas,64.399,6856.8562120000015,yes
50,Argentina,1962,21283783.0,Americas,65.142,7133.166023000002,yes
51,Argentina,1967,22934225.0,Americas,65.634,8052.953020999998,yes
52,Argentina,1972,24779799.0,Americas,67.065,9443.038526,yes
53,Argentina,1977,26983828.0,Americas,68.48100000000001,10079.02674,yes
54,Argentina,1982,29341374.0,Americas,69.942,8997.897412,yes
55,Argentina,1987,31620918.0,Americas,70.774,9139.671389,yes
56,Argentina,1992,33958947.0,Americas,71.868,9308.41871,yes
57,Argentina,1997,36203463.0,Americas,73.275,10967.28195,yes
58,Argentina,2002,38331121.0,Americas,74.34,8797.640716,yes
59,Argentina,2007,40301927.0,Americas,75.32,12779.37964,yes
